Planet Name,Year of Discovery,Distance LY,ra,dec,st_dist
51 Peg b,1995,50.4563332,344.366577,20.768833,15.47
16 Cyg B b,1996,68.981994,295.466553,50.517525,21.15
47 UMa b,1996,45.009528,164.866562,40.430256,13.8
55 Cnc b,1996,41.0630404,133.149216,28.330818,12.59
70 Vir b,1996,58.4145396,202.107544,13.778788,17.91
tau Boo b,1996,51.0760296,206.815598,17.456905,15.66
ups And b,1996,43.7375196,24.199345,41.40546,13.41
rho CrB b,1997,57.0120688,240.261093,33.303509,17.48
GJ 876 b,1998,15.2641008,343.319733,-14.2637,4.68
HD 168443 b,1998,129.3860852,275.016388,-9.595722,39.67
HD 187123 b,1998,150.0969912,296.742126,34.419525,46.02
HD 195019 b,1998,122.9934276,307.077637,18.769497,37.71
HD 210277 b,1998,69.5038436,332.374451,-7.548654,21.31
HD 217107 b,1998,65.4595092,344.564758,-2.395385,20.07
GJ 86 b,1999,35.1922324,32.608059,-50.823723,10.79
HD 10697 b,1999,108.120714,26.232603,20.083149,33.15
HD 130322 b,1999,104.0763796,221.886368,-0.281476,31.91
HD 134987 b,1999,85.452872,228.369446,-25.309347,26.2
HD 177830 b,1999,205.0868928,286.336548,25.92066,62.88
HD 192263 b,1999,64.089654,303.499359,-0.866877,19.65
HD 209458 b,1999,157.7616572,330.794891,18.884319,48.37
HD 222582 b,1999,137.6704476,355.464722,-5.985757,42.21
HD 75289 b,1999,95.0418584,131.918289,-41.736794,29.14
HD 89744 b,1999,126.1571408,155.544006,41.22953,38.68
HR 810 b,1999,56.5228348,40.639442,-50.800293,17.33
ups And c,1999,43.7375196,24.199345,41.40546,13.41
ups And d,1999,43.7375196,24.199345,41.40546,13.41
BD-10 3166 b,2000,275.9605916,164.620003,-10.770376,84.61
GJ 3021 b,2000,57.2729936,4.052823,-79.851181,17.56
GJ 876 c,2000,15.2641008,343.319733,-14.2637,4.68
HD 12661 b,2000,123.5805084,31.142866,25.414305,37.89
HD 160691 b,2000,50.9129516,266.036255,-51.834053,15.61
HD 16141 b,2000,123.3848148,38.833035,-3.560602,37.83
HD 168443 c,2000,129.3860852,275.016388,-9.595722,39.67
HD 169830 b,2000,122.7651184,276.956177,-29.816866,37.64
